[' show vlan members
  vlan       port         type         status
--------+------------+------------+--------------
  1         1/1/5        default    inactive
  1         1/1/6        default    inactive
  1         1/1/8        default    inactive
  1         1/1/16       default    inactive
  1         1/1/18       default    inactive
  1         1/1/24       default    blocking
  1         1/1/25       default    inactive
  1         1/1/26       default    inactive
  1         1/1/27       default    inactive
  1         1/1/28       default    inactive
  10        1/1/1        default    forwarding
  10        1/1/21       default    inactive
  10        1/1/23       default    forwarding
  10        1/1/24       qtagged    forwarding
  20        1/1/13       default    forwarding
  20        1/1/14       default    inactive
  20        1/1/24       qtagged    forwarding
  30        1/1/10       default    forwarding
  30        1/1/22       default    inactive
  30        1/1/24       qtagged    forwarding
  31        1/1/16       qtagged    inactive
  31        1/1/17       default    inactive
  31        1/1/18       qtagged    inactive
  31        1/1/20       default    inactive
  31        1/1/23       qtagged    forwarding
  31        1/1/24       qtagged    forwarding
  40        1/1/7        default    inactive
  40        1/1/11       default    inactive
  40        1/1/24       qtagged    forwarding
  41        1/1/16       qtagged    inactive
  41        1/1/18       qtagged    inactive
  41        1/1/23       qtagged    forwarding
  41        1/1/24       qtagged    forwarding
  42        1/1/12       default    inactive
  42        1/1/24       qtagged    forwarding
  50        1/1/16       qtagged    inactive
  50        1/1/18       qtagged    inactive
  50        1/1/23       qtagged    forwarding
  50        1/1/24       qtagged    forwarding
  54        1/1/16       qtagged    inactive
  54        1/1/18       qtagged    inactive
  54        1/1/23       qtagged    forwarding
  54        1/1/24       qtagged    forwarding
  55        1/1/16       qtagged    inactive
  55        1/1/18       qtagged    inactive
  55        1/1/23       qtagged    forwarding
  55        1/1/24       qtagged    forwarding
  58        1/1/16       qtagged    inactive
  58        1/1/18       qtagged    inactive
  58        1/1/23       qtagged    forwarding
  58        1/1/24       qtagged    forwarding
  59        1/1/16       qtagged    inactive
  59        1/1/18       qtagged    inactive
  59        1/1/23       qtagged    forwarding
  59        1/1/24       qtagged    forwarding
  100       1/1/2        default    forwarding
  100       1/1/15       default    inactive
  100       1/1/19       default    inactive
  100       1/1/24       qtagged    forwarding
  200       1/1/16       qtagged    inactive
  200       1/1/18       qtagged    inactive
  200       1/1/24       qtagged    forwarding
  202       1/1/16       qtagged    inactive
  202       1/1/18       qtagged    inactive
  202       1/1/23       qtagged    forwarding
  202       1/1/24       qtagged    forwarding
  203       1/1/16       qtagged    inactive
  203       1/1/18       qtagged    inactive
  203       1/1/23       qtagged    forwarding
  203       1/1/24       qtagged    forwarding
  204       1/1/16       qtagged    inactive
  204       1/1/18       qtagged    inactive
  204       1/1/23       qtagged    forwarding
  204       1/1/24       qtagged    forwarding
  205       1/1/16       qtagged    inactive
  205       1/1/18       qtagged    inactive
  205       1/1/23       qtagged    forwarding
  205       1/1/24       qtagged    forwarding
  206       1/1/16       qtagged    inactive
  206       1/1/18       qtagged    inactive
  206       1/1/23       qtagged    forwarding
  206       1/1/24       qtagged    forwarding
  500       1/1/3        default    inactive
  500       1/1/4        default    inactive
  500       1/1/23       qtagged    forwarding
  500       1/1/24       qtagged    forwarding

QA_Switch->']

